,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
38,Prince Rupert,90,CA,1541224800,93,54.32,-130.32,46.4,16.11
39,Hilo,75,US,1541225460,90,19.71,-155.08,73.04,6.93
40,Gari,80,RU,1541227258,81,59.43,62.35,30.29,4.38
41,Lahaina,1,US,1541224560,86,20.87,-156.68,78.08,14.99
42,Huarmey,32,PE,1541227017,86,-10.07,-78.15,59.04,3.04
43,Mount Isa,56,AU,1541224800,19,-20.73,139.49,100.4,14.99
44,Athens,90,US,1541226000,93,34.8,-86.97,45.68,4.94
45,Champerico,24,MX,1541227258,85,16.38,-93.6,67.86,3.04
46,Clyde River,90,CA,1541224800,77,70.47,-68.59,6.8,14.99
47,Gigmoto,88,PH,1541226843,100,13.78,124.39,81.5,7.4
48,Qaqortoq,64,GL,1541224200,73,60.72,-46.03,21.2,1.12
49,Adrar,0,DZ,1541224800,46,27.87,-0.29,53.6,9.17
50,Pacific Grove,1,US,1541224500,77,36.62,-121.92,57.2,2.04
51,Beruwala,24,LK,1541227259,100,6.48,79.98,82.31,1.59
52,Vestmannaeyjar,92,IS,1541226866,100,63.44,-20.27,37.89,31.34
53,Port Alfred,0,ZA,1541226803,77,-33.59,26.89,65.97,22.5
54,Rio Gallegos,0,AR,1541224800,71,-51.62,-69.22,50,16.11
55,Hakui,20,JP,1541224800,45,36.89,136.78,64.4,5.82
56,Rock Springs,20,US,1541224440,88,41.59,-109.2,33.98,16.11
57,Souillac,12,FR,1541224800,100,45.6,-0.6,39.2,2.24
58,Kapit,44,MY,1541227260,75,2.02,112.94,84.2,2.93
59,Hobart,0,AU,1541225220,50,-42.88,147.33,57.2,18.34
61,Noshiro,40,JP,1541224800,62,40.21,140.05,59,8.05
63,Saskylakh,64,RU,1541226811,80,71.97,114.09,1.49,4.38
64,Neuquen,0,AR,1541224800,66,-38.95,-68.06,55.4,6.93
66,Marawi,56,PH,1541226876,98,8,124.29,75.87,2.59
67,Vila Franca do Campo,75,PT,1541224800,94,37.72,-25.43,68,8.05
68,Celestun,88,MX,1541227261,100,20.87,-90.4,78.08,22.06
69,Bredasdorp,64,ZA,1541224800,59,-34.53,20.04,66.2,3.36
70,San Cristobal,75,EC,1541224800,93,-0.39,-78.55,51.8,1.12
71,Caravelas,68,BR,1541226882,100,-17.73,-39.27,77.72,9.42
72,Mount Gambier,68,AU,1541226895,66,-37.83,140.78,59.94,7.07
73,Ilulissat,76,GL,1541224200,56,69.22,-51.1,14,21.92
74,Tasiilaq,0,GL,1541224200,57,65.61,-37.64,23,3.36
75,Hamilton,40,BM,1541224500,69,32.3,-64.78,75.2,14.99
76,Timra,0,SE,1541226000,86,62.49,17.33,39.2,6.93
77,Arraial do Cabo,64,BR,1541226245,94,-22.97,-42.02,72.68,11.77
78,Acajutla,64,SV,1541226882,84,13.59,-89.83,76.28,1.59
79,Farafangana,56,MG,1541227263,100,-22.82,47.83,76.14,6.4
80,Brigantine,90,US,1541226300,96,39.41,-74.36,66.92,8.05
82,Dharchula,92,IN,1541227263,100,29.85,80.53,35.69,0.92
83,Geraldton,90,CA,1541224800,92,49.72,-86.95,28.4,2.48
84,Cockburn Town,32,TC,1541226826,100,21.46,-71.14,79.07,21.5
85,Pestovo,75,RU,1541224800,87,55.36,37.98,46.4,8.95
86,Rock Sound,32,BS,1541227264,100,24.9,-76.2,82.17,12.55
87,Ancud,92,CL,1541226848,84,-41.87,-73.83,49.82,11.65
88,College,1,US,1541224380,83,64.86,-147.8,8.96,3.36
89,Tuktoyaktuk,75,CA,1541221200,85,69.44,-133.03,15.8,6.93
90,Tefe,56,BR,1541227264,94,-3.35,-64.71,76.41,3.71
91,Mataura,32,NZ,1541226785,62,-46.19,168.86,53.01,23.06
92,Chuy,92,UY,1541226842,95,-33.69,-53.46,60.98,14.67
93,Walvis Bay,90,NA,1541224800,93,-22.95,14.51,60.8,6.93
94,Butaritari,0,KI,1541226807,100,3.07,172.79,84.92,6.96
95,Avarua,75,CK,1541224800,88,-21.21,-159.78,77,4.7
96,Debno,0,PL,1541227265,95,52.74,14.7,37.58,6.73
97,Santa Lucia,40,IT,1541224500,71,39.93,9.66,57.2,6.93
98,Nikolskoye,90,RU,1541223000,93,59.7,30.79,50,6.71
99,Jertih,90,MY,1541224800,88,5.74,102.5,78.8,2.24
101,San Patricio,44,PY,1541226822,89,-26.98,-56.83,77,4.5
103,Trat,0,TH,1541224800,52,12.25,102.51,91.4,8.05
104,Qaanaaq,8,GL,1541226322,100,77.48,-69.36,0.59,11.54
105,Half Moon Bay,1,US,1541224800,67,37.46,-122.43,64.04,9.08
106,Lebu,0,ET,1541221200,58,8.96,38.73,59,3.36
107,Agadez,0,NE,1541224800,28,16.97,7.99,69.8,4.7
108,Cidreira,92,BR,1541226393,85,-30.17,-50.22,68.31,9.75
109,Ron,0,IN,1541227268,61,15.7,75.73,84.2,9.42
110,Pisco,0,PE,1541224800,88,-13.71,-76.2,62.6,2.24
111,Fairbanks,1,US,1541224380,83,64.84,-147.72,8.96,3.36
112,Narsaq,36,GL,1541224200,73,60.91,-46.05,21.2,1.12
113,Puerto Ayora,8,EC,1541226318,100,-0.74,-90.35,70.29,9.42
114,Khatanga,68,RU,1541226249,79,71.98,102.47,4.46,10.09
115,Tazovskiy,44,RU,1541226804,74,67.47,78.7,3.29,7.74
116,Cabo San Lucas,5,MX,1541224440,68,22.89,-109.91,71.6,6.93
118,Provideniya,24,RU,1541226796,100,64.42,-173.23,35.78,22.84
119,Juneau,90,US,1541224560,66,58.3,-134.42,35.96,3.36
120,Saldanha,8,PT,1541226824,94,41.42,-6.55,33.08,3.15
121,Chunskiy,80,RU,1541227269,43,56.08,99.63,28.13,5.73
122,Nalut,44,LY,1541227056,100,31.86,10.98,54.59,3.38
124,Barentu,24,ER,1541227270,80,15.11,37.59,72.5,4.05
125,Port Macquarie,40,AU,1541224800,26,-31.43,152.91,95,12.75
126,Mahebourg,40,MU,1541224800,65,-20.41,57.7,80.6,13.87
127,Katobu,8,ID,1541227270,100,-4.94,122.53,82.4,3.15
128,The Valley,20,AI,1541224800,74,18.22,-63.06,80.6,16.11
129,Kahului,1,US,1541220960,79,20.89,-156.47,78.98,16.11
130,Phan Thiet,20,VN,1541227039,79,10.93,108.1,87.08,19.15
131,Vermilion,90,CA,1541224800,92,53.35,-110.85,21.2,4.7
132,Luderitz,32,NA,1541224800,93,-26.65,15.16,57.2,11.41
133,Victoria,75,BN,1541224800,59,5.28,115.24,93.2,3.36
134,Aragarcas,32,BR,1541227271,92,-15.9,-52.25,72.14,0.81
135,Batagay,44,RU,1541227271,83,67.65,134.64,-5.9,3.15
136,Aksu,90,KZ,1541224800,93,52.04,76.93,32,13.42
137,Atuona,68,PF,1541226818,100,-9.8,-139.03,80.87,14.79
138,Chiheru de Jos,0,RO,1541224800,87,46.69,24.88,55.4,5.82
139,Kaoma,80,ZM,1541227272,85,-14.8,24.8,69.39,5.61
141,Airai,0,TL,1541226466,49,-8.93,125.41,86.54,2.71
142,Mporokoso,80,ZM,1541227272,94,-9.37,30.12,66.29,3.94
143,Muli,0,IN,1541227272,40,22.62,71.45,93.87,4.61
144,Chokurdakh,68,RU,1541226845,80,70.62,147.9,1.71,3.04
145,Hithadhoo,76,MV,1541226982,100,-0.6,73.08,82.89,11.77
146,Grand Gaube,40,MU,1541224800,65,-20.01,57.66,80.6,13.87
147,Ca Mau,88,VN,1541227273,84,9.18,105.15,85.59,15.79
148,Harper,1,US,1541225700,77,30.3,-99.24,50,3.36
149,Guerrero Negro,0,MX,1541226873,98,27.97,-114.04,61.97,8.52
151,Mitsamiouli,20,KM,1541224800,70,-11.38,43.28,84.2,11.41
152,Hobyo,8,SO,1541227274,75,5.35,48.53,82.4,10.42
153,Kapaa,75,US,1541224560,79,22.08,-159.32,78.08,17.22
154,Ronne,8,FR,1541226600,100,48.45,0.83,30.2,2.24
155,Port Elizabeth,90,US,1541226300,100,39.31,-74.98,66.02,6.62
156,Moranbah,8,AU,1541226896,33,-22,148.04,88.7,11.32
157,Naze,20,NG,1541226466,95,5.43,7.07,73.49,1.92
158,San Carlos,64,VE,1541227275,95,9.66,-68.59,71.24,3.04
159,Bethel,1,US,1541224380,80,60.79,-161.76,24.98,16.11
160,Thompson,40,CA,1541224800,84,55.74,-97.86,5,2.24
161,Orlik,44,RU,1541227275,60,52.51,99.83,11.84,3.71
162,Limbang,75,BN,1541224800,49,4.75,115.01,93.2,8.05
163,Yerbogachen,64,RU,1541227044,58,61.28,108.01,15.44,8.75
164,Samarai,88,PG,1541226475,100,-10.62,150.67,79.43,16.69
165,Faya,40,SA,1541224800,42,18.39,42.45,68,4.7
166,Beian,75,NO,1541226000,80,63.66,9.57,39.2,9.17
167,Barrow,0,AR,1541226637,95,-38.31,-60.23,51.26,8.41
168,Tessalit,0,ML,1541227276,26,20.2,1.01,63.23,7.07
169,Tiksi,0,RU,1541226784,61,71.64,128.87,-13.41,4.94
171,La Mesa,1,US,1541224560,42,32.77,-117.02,69.98,2.37
172,Aksay,0,RU,1541227277,83,47.27,39.86,41.76,13.22
173,Baykit,68,RU,1541226791,76,61.68,96.39,18.36,8.97
174,Cherskiy,32,RU,1541226387,74,68.75,161.3,-3.06,2.59
175,Kayerkan,76,RU,1541227278,74,69.35,87.76,0.05,3.15
177,Klaksvik,92,FO,1541224200,100,62.23,-6.59,48.2,19.46
178,Boca do Acre,92,BR,1541227278,94,-8.76,-67.39,77.22,2.15
179,Meget,0,RU,1541224800,46,52.42,104.06,28.4,8.95
180,Paamiut,64,GL,1541227037,100,61.99,-49.67,32.63,13.67
181,Namibe,44,AO,1541226843,100,-15.19,12.15,70.88,10.2
182,Lavrentiya,0,RU,1541226807,100,65.58,-170.99,36.72,23.06
184,Taksimo,48,RU,1541226836,36,56.36,114.84,10.22,2.71
185,Ugoofaaru,12,MV,1541226472,100,5.67,73,82.67,4.38
186,Upernavik,76,GL,1541226244,100,72.79,-56.15,22.82,14.67
187,Palauig,0,PH,1541227279,81,15.44,119.9,85.19,3.6
188,Muisne,92,EC,1541227279,93,0.61,-80.02,72.86,3.6
190,Jardim,0,BR,1541227280,76,-21.48,-56.15,77.04,7.18
192,North Bend,90,US,1541226600,100,43.41,-124.22,50,3.94
193,Sao Domingos,44,BR,1541227280,96,-13.4,-46.32,65.16,3.38
194,Salinopolis,92,BR,1541226882,95,-0.61,-47.36,81.95,13.67
195,Peleduy,64,RU,1541227281,48,59.63,112.75,14.76,7.52
196,Cayenne,90,GF,1541224800,94,4.94,-52.33,73.4,1.12
197,Torbay,90,CA,1541224800,100,47.66,-52.73,41,3.36
199,Wencheng,92,CN,1541227281,100,27.79,120.09,57.96,2.59
200,Kalmunai,88,LK,1541227043,100,7.42,81.82,78.12,4.38
201,Camacha,75,PT,1541224800,72,33.08,-16.33,66.2,11.41
202,Bida,8,NG,1541227282,93,9.08,6.02,73.17,2.82
203,Bonavista,80,CA,1541226389,100,48.65,-53.11,42.17,4.16
204,Kavaratti,48,IN,1541227282,100,10.57,72.64,80.19,9.19
206,Torrijos,0,ES,1541226600,81,39.98,-4.28,42.8,1.7
207,Kamenka,76,RU,1541227057,81,53.19,44.05,32.67,10.31
208,Boyuibe,80,BO,1541227283,83,-20.43,-63.28,74.39,9.98
209,La Palma,92,CO,1541227283,99,5.36,-74.39,67.28,0.69
210,Berlevag,88,NO,1541227039,100,70.86,29.09,32.36,7.4
211,Alice Town,64,BS,1541227284,100,25.72,-79.3,80.87,17.25
212,Talnakh,68,RU,1541226316,88,69.49,88.39,-3.69,2.93
213,Kingman,1,US,1541224560,45,35.19,-114.05,69.98,2.48
214,Beidao,76,CN,1541227284,87,34.57,105.89,43.88,7.18
215,Bambous Virieux,40,MU,1541224800,65,-20.34,57.76,80.6,13.87
216,Manggar,88,ID,1541226988,100,-2.88,108.27,78.21,3.27
217,Saint-Augustin,12,FR,1541226600,100,44.83,-0.61,39.2,2.24
218,Leningradskiy,76,RU,1541226805,100,69.38,178.42,18.09,5.06
219,Filingue,0,NE,1541227285,56,14.35,3.32,62.6,3.15
220,Saint-Pierre,12,FR,1541224800,81,48.95,4.24,32,6.93
221,Lucenec,0,SK,1541224800,93,48.33,19.67,55.4,1.59
222,Kieta,76,PG,1541226804,98,-6.22,155.63,81.23,5.84
223,Hot Springs,1,US,1541224380,95,34.5,-93.06,44.06,2.37
224,Carnarvon,12,ZA,1541226401,12,-30.97,22.13,63.14,12.77
225,San Quintin,20,PH,1541224800,74,17.54,120.52,86,6.93
226,Winsum,0,NL,1541226300,100,53.33,6.52,44.6,2.24
227,Platanos,40,GR,1541226000,100,35.47,23.6,60.8,15.23
228,Mar del Plata,0,AR,1541226376,94,-46.43,-67.52,46.4,6.96
230,Alegrete,92,BR,1541227288,99,-29.79,-55.79,68.04,3.49
231,Raudeberg,80,NO,1541224200,70,61.99,5.14,44.6,21.92
232,Araceli,48,PH,1541227288,99,10.55,119.99,84.83,15.46
234,Hunchun,0,CN,1541227288,50,42.86,130.36,61.43,2.71
235,Dikson,12,RU,1541226387,100,73.51,80.55,16.97,5.39
236,Tromso,75,NO,1541224200,80,69.65,18.96,41,14.99
237,Katangli,0,RU,1541227289,75,51.71,143.23,48.69,15.35
238,Coquimbo,0,CL,1541224800,100,-29.95,-71.34,55.4,5.17
239,Vardo,75,US,1541224800,79,39.62,-77.74,53.6,5.82
241,Castro,92,CL,1541226834,92,-42.48,-73.76,47.39,11.1
243,Kondagaon,0,IN,1541227290,62,19.59,81.66,84.42,1.7
244,Namatanai,48,PG,1541227290,100,-3.66,152.44,83.39,8.19
245,Sangar,0,RU,1541227290,67,63.92,127.47,5,9.31
246,Katsuura,20,JP,1541224800,55,33.93,134.5,62.6,6.93
247,Richards Bay,48,ZA,1541226432,100,-28.77,32.06,63.81,1.25
248,Sitka,36,US,1541226883,59,37.17,-99.65,45.27,11.77
249,Tabou,88,CI,1541226865,100,4.42,-7.36,78.44,5.95
250,Soto la Marina,0,MX,1541227291,70,23.77,-98.21,62.69,3.6
252,Aklavik,5,CA,1541224800,72,68.22,-135.01,12.2,2.24
254,Wuwei,44,CN,1541227292,64,37.93,102.64,36.95,4.5
257,Saint George,20,GR,1541224200,93,39.45,22.34,53.6,4.7
258,Yatou,75,CM,1541224800,94,3.63,9.81,73.4,5.61
259,Araouane,0,ML,1541226832,42,18.9,-3.53,60.53,6.96
260,Kruisfontein,0,ZA,1541226817,80,-34,24.73,62.78,15.79
261,Salalah,20,OM,1541224200,54,17.01,54.1,84.2,10.29
262,Sheridan,75,US,1541224680,51,39.65,-105.03,50.9,27.51
263,Beringovskiy,92,RU,1541226898,100,63.05,179.32,32.99,11.21
264,Pemberton,0,AU,1541227293,48,-34.44,116.03,72.77,11.99
265,Manaus,75,BR,1541224800,94,-3.13,-59.98,75.2,2.24
266,Scottsbluff,90,US,1541225880,89,41.87,-103.67,44.96,10.29
267,Dukat,12,RS,1541227002,91,42.44,22.31,47.12,2.26
268,Kaitangata,24,NZ,1541226315,55,-46.28,169.85,55.94,27.87
269,Kirovskiy,0,RU,1541227294,48,45.09,133.51,56.79,5.17
270,Ojuelos de Jalisco,64,MX,1541227294,92,21.86,-101.59,46.62,3.04
271,Mareeba,75,AU,1541224800,65,-16.99,145.42,82.4,16.11
275,Cap Malheureux,40,MU,1541224800,65,-19.98,57.61,80.6,13.87
277,Norman Wells,90,CA,1541224800,84,65.28,-126.83,8.6,2.24
278,Rabaul,68,PG,1541227295,100,-4.2,152.17,81.59,4.38
280,Georgetown,40,GY,1541224800,94,6.8,-58.16,77,2.24
281,Severo-Kurilsk,32,RU,1541226983,92,50.68,156.12,41.67,6.96
282,Tawau,75,MY,1541224800,66,4.26,117.89,89.6,9.17
283,Keti Bandar,0,PK,1541227296,96,24.14,67.45,82.89,3.38
284,Lata,92,IN,1541226397,100,30.78,78.62,39.83,1.36
285,Mantena,76,BR,1541227296,96,-18.78,-40.98,69.57,4.83
287,Riyadh,75,SA,1541224800,33,24.63,46.72,71.6,4.5
288,Kattivakkam,40,IN,1541224800,74,13.22,80.32,87.8,11.41
289,Pimentel,0,BR,1541227297,86,-3.7,-45.5,75.87,4.94
290,Pueblo,1,US,1541224680,47,38.25,-104.61,53.96,9.17
292,Solnechnyy,80,RU,1541227004,66,50.72,136.64,47.57,3.15
293,Okhotsk,0,RU,1541227016,100,59.36,143.24,21.06,16.02
294,Scalea,92,IT,1541227297,98,39.82,15.79,68.36,8.97
295,Masallatah,68,LY,1541227297,92,32.62,14,62.69,2.26
296,Te Anau,36,NZ,1541226391,78,-45.41,167.72,44.91,12.55
297,Luau,88,CD,1541227298,96,-10.7,22.23,67.55,3.27
298,Port Blair,0,IN,1541226784,99,11.67,92.75,84.47,14.56
299,Markova,0,RU,1541224800,46,52.21,104.21,28.4,8.95
300,Taltal,12,CL,1541227298,96,-25.41,-70.49,52.79,0.47
302,Daru,76,SL,1541226814,98,7.99,-10.85,70.02,4.5
303,Sur,0,OM,1541226870,96,22.57,59.53,78.8,17.02
304,Saint-Philippe,90,CA,1541225760,100,45.36,-73.48,40.64,6.93
305,Santa Fe,0,AR,1541227301,95,-31.62,-60.7,66.2,5.73
306,Filadelfia,8,PY,1541227302,66,-22.35,-60.04,82.13,8.08
308,Alofi,8,NU,1541224800,73,-19.06,-169.92,73.4,10.29
309,Asuncion Nochixtlan,76,MX,1541227294,87,17.47,-97.23,47.61,2.15
310,Bacolod,56,PH,1541227303,69,10.68,122.95,86.22,8.97
311,Timbuktu,0,ML,1541227304,39,16.77,-3.01,69.98,9.86
312,Merauke,24,ID,1541226847,87,-8.49,140.4,85.77,15.79
313,Lagoa,20,PT,1541224800,93,37.14,-8.45,55.4,6.96
314,Kibala,0,TD,1541224800,83,9.11,18.35,77,6.93
315,Kupang,0,ID,1541227305,66,-10.16,123.6,89.87,12.77
316,Saint Anthony,75,US,1541224560,57,43.97,-111.68,39.92,4.7
317,La Rioja,0,AR,1541227305,68,-29.41,-66.86,69.12,5.5
318,Ostrovnoy,76,RU,1541226391,95,68.05,39.51,30.42,12.66
319,Urucara,36,BR,1541227305,98,-2.54,-57.76,76.77,1.59
320,Ponta do Sol,80,BR,1541226389,94,-20.63,-46,65.07,5.61
321,Codrington,32,AU,1541226886,59,-28.95,153.24,84.38,5.5
322,Esperance,20,TT,1541224800,94,10.24,-61.45,77,5.39
323,Kulhudhuffushi,0,MV,1541227306,100,6.62,73.07,83.12,4.61
324,Palanga,80,RO,1541227306,96,44.45,25.08,51.26,9.86
325,Zadar,0,HR,1541224800,100,44.12,15.24,55.4,2.24
326,Gurkovo,80,BG,1541226600,87,42.98,23.69,50,2.26
327,Rafai,92,CF,1541227307,100,4.95,23.92,69.35,5.73
328,Sao Joao do Paraiso,56,BR,1541227307,93,-15.31,-42.01,65.12,5.61
329,Sand Springs,90,US,1541225700,88,36.14,-96.11,44.06,3.15
331,Saint-Georges,92,CA,1541227007,95,46.12,-70.67,44.51,6.51
332,Canguaretama,20,BR,1541224800,74,-6.38,-35.14,78.8,10.29
333,Mandera,0,ET,1541227308,56,3.94,41.86,83.93,9.42
334,Pierre,90,US,1541224380,92,44.37,-100.35,39.92,10.29
335,Lorengau,64,PG,1541226802,100,-2.02,147.27,83.3,6.4
336,Phillipsburg,75,US,1541224380,65,39.76,-99.32,44.06,8.05
337,Cesis,88,LV,1541227308,95,57.31,25.27,45.05,10.65
338,Emborion,40,GR,1541224200,71,40.48,21.55,50,6.93
339,Nanortalik,64,GL,1541226791,100,60.14,-45.24,30.69,15.79
340,Rincon,1,US,1541225700,67,32.3,-81.24,57.92,9.17
341,Baruun-Urt,92,MN,1541227309,58,46.68,113.28,20.79,14.12
345,Ambilobe,0,MG,1541226849,49,-13.19,49.05,86.18,3.71
346,Mattru,56,SL,1541227310,93,7.62,-11.83,73.89,4.94
347,Nampula,20,MZ,1541224800,65,-15.12,39.26,78.8,4.7
348,Bathsheba,40,BB,1541224800,78,13.22,-59.52,80.6,13.87
349,Ewa Beach,20,US,1541224680,23,21.32,-158.01,78.08,6.93
350,Pyinmana,0,MM,1541227310,56,19.74,96.21,88.61,3.27
351,North Platte,40,US,1541224380,75,41.12,-100.77,41,6.93
352,San Rafael,0,AR,1541226804,23,-34.61,-68.33,48.42,6.62
353,Rocha,92,UY,1541226469,97,-34.48,-54.34,54.86,6.17
354,Ziro,75,IN,1541224800,69,27.54,93.82,80.6,3.36
355,Ararat,0,AU,1541227311,49,-37.28,142.93,66.42,9.75
356,Henties Bay,0,NA,1541227311,100,-22.12,14.28,60.53,3.94
357,Santiago del Estero,0,AR,1541227075,89,-27.8,-64.26,72.36,3.27
358,Ketchikan,90,US,1541224560,89,55.34,-131.65,46.94,12.75
359,Kitakata,0,JP,1541227312,73,37.67,139.86,54.95,2.59
360,Onega,92,RU,1541227312,100,63.91,38.09,40.37,14.67
362,Benguela,20,AO,1541227312,100,-12.58,13.4,75.69,1.81
363,Port Lincoln,12,AU,1541226823,82,-34.72,135.86,63.99,7.18
364,Mehamn,88,NO,1541227072,90,71.03,27.85,31.64,6.96
365,The Pas,90,CA,1541224800,63,53.82,-101.24,26.6,4.94
366,Novaya Chigla,36,RU,1541227313,79,51.22,40.48,33.35,8.3
367,Coihaique,0,CL,1541221200,75,-45.58,-72.07,46.4,4.7
369,Tera,0,CY,1541226600,47,34.97,32.42,77,3.36
370,Limanowa,75,PL,1541226600,93,49.71,20.42,55.4,2.24
371,Caramay,88,PH,1541227314,97,10.18,119.24,84.83,7.74
372,Khandyga,68,RU,1541226471,77,62.65,135.58,17.24,2.93
373,Mayumba,92,GA,1541227314,99,-3.44,10.65,76.86,3.71
374,Westport,90,IE,1541224800,93,53.8,-9.52,55.4,20.8
375,San Felipe,0,CL,1541224800,81,-32.75,-70.73,51.8,3.36
376,Ambon,0,FR,1541224800,93,47.55,-2.56,35.6,3.36
378,Lompoc,1,US,1541224680,92,34.64,-120.46,59,3.36
379,Tamboril,0,BR,1541226833,80,-4.83,-40.32,72.14,7.63
380,Middletown,90,US,1541225820,93,41.55,-71.29,69.98,24.16
381,Quilali,92,NI,1541227316,93,13.57,-86.03,69.98,2.15
382,Walkerton,90,CA,1541224800,93,44.13,-81.15,37.4,5.82
383,Zabaykalsk,12,CN,1541227316,40,49.64,117.33,22.82,13.89
384,Tavda,20,RU,1541227238,85,58.04,65.27,24.44,3.27
385,La Maddalena,40,IT,1541226000,100,39.15,9.02,53.6,4.7
387,Williston,90,US,1541226300,85,48.15,-103.62,35.96,9.17
389,Sobolevo,92,RU,1541226877,98,54.43,31.9,45.99,12.21
391,Mahibadhoo,12,MV,1541226901,100,3.78,72.97,83.03,6.06
392,Vysokogornyy,0,RU,1541227317,59,50.1,139.13,43.11,10.54
393,Bontang,0,ID,1541227318,85,0.12,117.47,87.12,5.5
395,Olinda,75,EC,1541224800,83,-2.03,-79.75,73.4,12.75
396,Bouna,12,CI,1541227318,94,9.27,-3,72.23,7.18
397,Fatehgarh Churian,40,IN,1541226600,64,31.86,74.96,73.4,8.05
398,Aitape,24,PG,1541227319,95,-3.15,142.36,82.58,7.4
399,Singaraja,88,ID,1541227319,74,-8.11,115.08,81.99,2.82
400,Shimoda,75,JP,1541221200,72,34.7,138.93,64.4,13.87
401,Hohhot,40,CN,1541224800,37,40.81,111.65,55.4,6.71
402,Ati,0,TD,1541227319,23,13.21,18.34,73.22,4.72
403,Xining,0,CN,1541227035,61,36.62,101.77,42.39,3.71
404,Mollendo,12,PE,1541227320,92,-17.03,-72.02,49.37,0.58
405,Sao Filipe,76,CV,1541226828,95,14.9,-24.5,78.89,15.35
406,Inhambane,75,MZ,1541224800,50,-23.87,35.38,77,18.34
407,Dunedin,100,NZ,1541226778,97,-45.87,170.5,54.77,14.12
408,Egvekinot,92,RU,1541227320,89,66.32,-179.17,14.76,2.48
409,Princeton,90,US,1541224560,77,41.37,-89.46,43.52,5.17
410,Muroto,20,JP,1541224800,37,33.37,134.14,68,6.93
411,Axim,80,GH,1541227119,100,4.87,-2.24,80.06,6.73
412,Srednekolymsk,56,RU,1541227321,70,67.46,153.71,6.89,4.16
413,Magadan,75,RU,1541224800,100,59.56,150.8,30.2,3.83
416,Comrat,0,MD,1541227322,87,46.3,28.66,45.5,4.72
417,Belmonte,24,PT,1541227216,92,40.36,-7.35,41.49,4.05
418,Dabola,0,GN,1541226892,83,10.74,-11.11,63.27,2.59
419,Senador Jose Porfirio,20,BR,1541226992,89,-2.59,-51.95,78.98,5.17
420,Hofn,92,IS,1541227056,100,64.25,-15.21,37.85,38.95
421,Oranjemund,56,ZA,1541227322,89,-28.55,16.43,59.9,16.46
422,Gallatin,20,US,1541225700,100,36.39,-86.45,46.94,3.38
423,Banloc,0,RO,1541224800,59,45.39,21.13,64.4,20.8
424,Festus,40,US,1541226060,96,38.22,-90.4,42.98,3.36
425,Gizo,0,IL,1541224200,30,31.8,34.94,71.6,8.05
427,Sao Joao da Barra,88,BR,1541226467,100,-21.64,-41.05,74.12,5.61
428,Katakwi,20,UG,1541227323,86,1.91,33.96,72.09,3.94
